Table B.2: Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Selected Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Cities Selected Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,M49 classification,Country,,Year,Number of Cases,Improved water sources,,,,,,,,,,Total Improved water (d),Access to basic drinking water services (e),Improved sanitation facilities,,,,,,,Total Improved Sanitation (f),Access to basic sanitation services (g),Basic hand-washing facility (h),Durable housing (i),,,Sufficient living area (j),,,,Type of main cooking fuel,,,,,Source
Western Africa,Sub-Saharan Africa,Benin,Djouguo,2006,"2,787",60.4,3.4,63.8,7.4,3.9,0.1,15.3,0.6,0,27.3,91.1,84.2,0,0,39.1,,,,41.3,39.1,20.5,,77.7,63.1,94,66.1,4.7,36.3,51.7,0,0.8,,0.8,98.8,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Benin,Djouguo,2018,"1,978",21.5,11.3,32.8,51.9,5.1,0.4,0,3.7,0,61.1,93.9,84.8,,,,2.6,,48.3,65.3,65.3,39.5,,85.9,80.3,98.9,65.9,,,57.5,0.3,1.2,,1.7,98.1,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Benin,Porto-Novo,1996,"1,776",41.7,4,45.7,2.4,9.5,0,1.3,0,0,13.2,58.9,,,,,1.9,,38.5,38.5,40.5,,,81.9,62.5,90.4,70.2,,,32,0,0.3,,0.3,98.9,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Benin,Porto-Novo,2006,"4,977",63.2,2,65.2,4.7,6.5,0,0,0.1,0,11.3,76.5,85.6,0,0,43.8,,,,56.3,43.8,14.1,,93.9,83.6,93.2,65.8,9.7,60,68.4,0,11.3,,11.3,88.4,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Benin,Porto-Novo,2018,"4,215",55,4,59,21.7,3,0.4,0,0.8,0.3,26.1,85,80.8,,,,15.2,,25.8,57.2,57.5,28.6,,95.1,85.1,90.2,74.9,,,58.6,0.4,9,,9.8,89.1,UN-Habitat_DHS
Southern Africa,Sub-Saharan Africa,Botswana,Francistown,2015,"90,992",98.2,0.6,98.8,0,0,0,0,0,0.2,0.2,99,,59.7,0,1,4.5,2.2,12.6,20.5,80.2,,,99,93.7,99,86.6,,,77.8,25.1,47.5,4.1,76.7,0.2,UN-Habitat_BMTHS
Southern Africa,Sub-Saharan Africa,Botswana,Gaborone,2015,"238,643",94.7,0,94.7,0,0,0,0,0,1.5,1.5,96.2,,58.7,0.1,0.2,14.9,2.1,9.7,28.2,86.9,,,95.8,94.2,95.8,87.1,,,85.7,38,55,1.5,94.4,0,UN-Habitat_BMTHS
Western Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,1992,"3,598",30.2,46,76.2,,9.3,,0,5.3,0.1,14.7,90.9,73.8,6.1,,2.1,,,,2.1,8.3,,,90.8,,,76,,,34.3,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,1999,"2,279",28.4,53.3,81.6,6.5,2.7,,,7.3,0,16.5,98.1,86.7,6.6,,1.2,,,,1.2,7.8,,,94.3,,,75.4,,,42.3,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,2003,"5,279",35.9,60,96,,2.5,,0,0,0,2.8,98.7,83.4,14.3,,64.2,,,,64.2,78.5,52.2,,96.5,,,,26.8,,57.1,0,15.8,0.3,16,82.6,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,2006,"2,598",42.1,41.8,83.8,1.9,0.1,0,0,13.2,,15.2,99,,,,3.1,5.7,4.5,3.4,16.7,16.7,15.2,,98.3,51.5,99.6,81.1,25.7,65.9,66.3,0,24.1,0,24.1,74.1,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,2010,"8,334",48.7,44.9,93.6,4.2,0.8,0,0,0,0.5,5.5,99.1,91.3,2.7,0.2,2.8,7.4,1.5,80.7,92.6,95.3,68.3,,89.6,82.4,97.9,73.1,18.4,92.4,58.1,0,24.7,0.4,25.1,73.6,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,2014,"4,246",65.2,30.3,95.6,2,0.1,0,0,0.9,1.4,4.4,,79.2,3.4,0,0.3,7.7,0.5,87.1,95.6,99,67.4,,85.3,82.4,96.1,74.6,7.9,97.7,62.1,0,45.8,0,45.8,52.6,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,2018,"2,548",66.8,27.1,93.9,1.9,0.7,0,,0.1,0.8,3.4,97.3,90.3,,,,13.7,,69.4,95,96.9,58.2,,90.6,90.3,99.9,84.4,,,72.6,0,55.1,,56.7,42,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Burundi,Bujumbura,2012,"1,373",71.1,26.4,97.5,,0,0.2,,0,0.2,0.4,97.8,91.9,17.5,,0,20.8,1,53.4,59,92.9,38.9,,78.6,88.2,,74.3,12.8,88.9,69.5,0,,,0,95.5,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Cameroon,Bafoussam,2018,"3,344",38.5,10.6,49.1,23.7,4.9,9,1.7,0,1.8,41,90.2,84.1,1.1,0,0.4,13.7,1.9,74.9,91,92,66.2,,86.4,85.1,99.7,85.6,0.6,97.6,95.7,0.6,17.3,0.5,18.4,80.5,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Cameroon,Douala,1991,"1,258",28,50.6,78.7,,1.4,,0,,0,1.4,80.1,63.8,19,,,,,,,19,,,92.8,,,77.2,,,84.7,,,,,,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Cameroon,Douala,1998,"1,620",32.5,36.9,69.4,,6.3,,0,,0.8,7.1,76.5,59.2,29.3,,37.4,,,,37.4,66.6,,,91.2,,,84.9,10.3,,94.9,,,,,,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Cameroon,Douala,2004,"4,793",48.5,25.5,74,1.6,3.5,9.6,0,,,14.7,88.7,71.7,26.5,,32.1,,,,32.1,58.6,39.3,,85.6,,,84.8,6.9,69.1,97.1,0,42,0,42,56.5,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Cameroon,Douala,2006,"19,291",57.5,19.6,77,15,1.8,4.8,0,0.1,,21.7,98.7,,5.2,,5.6,20.6,4.9,27.2,58.3,63.5,48.3,,75.8,0,99.3,84.9,6.6,80.3,99.2,0.1,53.2,0.2,48.6,43,UN-Habitat_MICS
Middle Africa,Sub-Saharan Africa,Cameroon,Douala,2011,"6,407",28.4,34,62.4,27,2.7,4.8,0.1,0,2,36.6,99,90.3,0.9,0,0.3,31.9,4,59,95.3,96.2,61,,92.6,98.4,99.9,81.8,5.2,97.3,97.8,0.2,45,0,45.2,53,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Cameroon,Garoua,2018,"1,947",29.4,12.9,42.3,35.6,2.2,0,0.6,8.1,1,47.4,89.7,83,1.4,0.1,0,5.9,0.3,75.6,82,83.3,72.3,,77.7,79.4,93.2,73.8,0.9,91.1,67.7,0.3,7.3,0,7.6,90.3,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Cameroon,Yaoundé,1991,"1,457",78.5,8.2,86.7,,1.7,,0,,0,1.7,88.4,73.2,28.9,,,,,,,28.9,,,91.2,,,74.4,,,91.3,,,,,,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Cameroon,Yaoundé,2004,"4,238",48.6,42,90.6,1.6,0.8,5.3,0,,,7.6,98.2,95.2,24.7,,37.5,,,,37.5,62.2,33.6,,91.4,,,80.3,7.4,67.9,96.9,0,46,0,46,52.2,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Cameroon,Yaoundé,2006,"3,224",75.2,19.4,94.6,0.2,0.2,3.4,0,0,,3.8,98.4,,1.6,,6.4,26.6,1.8,22.6,57.4,59.1,41.8,,81.5,0,98.5,78.8,7.6,84.9,99.3,0.3,49.1,3.1,52.5,35.4,UN-Habitat_MICS
Middle Africa,Sub-Saharan Africa,Cameroon,Yaoundé,2011,"6,730",36.8,47.5,84.3,7.4,0.7,4.1,0,0.1,1.4,13.8,98.1,85.7,2.8,0,2.7,24.9,2.1,58.6,88.3,91.1,51.9,,93.5,86.3,98.2,81,13.4,95.3,99.2,0.1,56.2,0.4,56.7,39.5,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Cameroon,Yaoundé,1998,"1,434",63,30,93,,0.2,,0,,0.3,0.5,93.5,85.5,23.9,,40.7,,,,40.7,64.7,,,92.1,,,81.3,14.6,,97.5,,,,,,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Cameroon,Yaoundé,2018,"6,094",50.1,11.9,62,22.5,1.5,5.9,0.2,0,6.5,36.5,98.5,92.7,3.8,0.3,4.1,26.4,3.2,51.7,86.1,89.9,52.9,,93.6,94.7,96,74.5,5.2,98,99.3,2,61.5,0,63.5,32.1,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Central African Republic,Bangui,1994,"6,273",10.5,65.5,76,6.8,0.8,,0,0,0,7.6,83.6,76.5,4.7,,3.1,,,,3.1,7.7,,,50.9,18.6,,75.2,6.6,,18.2,,,,,,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Central African Republic,Bangui,2000,"15,806",13.1,68,81.1,0.3,16.6,0.2,0,,0,17.1,98.2,73.8,3.4,,1,,1.4,,2.4,30.6,,,50,94.5,97.2,99.9,,,36.1,,,,,,UN-Habitat_MICS
Middle Africa,Sub-Saharan Africa,Central African Republic,Bangui,2006,"10,021",8,74.7,82.7,1.4,12.1,1,0.1,0.1,0,14.8,97.5,70.2,1.5,0,10.5,4.5,1.5,49.6,66.1,67.6,38,,45.1,98.6,98.7,99.8,6.7,44.5,46.6,2,0.3,0,2.3,97.1,UN-Habitat_MICS
Middle Africa,Sub-Saharan Africa,Central African Republic,Bangui,2010,"10,781",11,71,82,1.9,11.5,0.9,0,0,0.2,14.4,96.4,56,0.3,0.1,1.7,0.6,1.5,15.4,19.3,95.7,48.5,30.9,45.4,70.1,97.6,98.3,2.8,91.7,46.9,0.5,0.2,0,0.7,99.2,UN-Habitat_MICS
Middle Africa,Sub-Saharan Africa,Chad,N'Djaména,1996,"3,569",25,7.9,33,,1.9,,0,0,32,33.9,66.9,62.6,2.3,,46.5,,,,46.5,48.7,,,26.3,10.9,77.9,57.3,4.1,,21.5,,,,,,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Chad,N'Djaména,2000,"3,121",,,,4.1,,,,57.2,,61.2,61.2,76.3,1.6,,2.6,,0,,2.6,43.4,,,69.8,,,56.1,,,,,,,,,UN-Habitat_MICS
Middle Africa,Sub-Saharan Africa,Chad,N'Djaména,2004,"2,477",31.4,19.9,51.2,10.7,,1.2,0,23,0,35.9,67.3,23.8,12.2,,23.2,,,,23.2,35.3,,,31.6,98.7,97.8,63.9,9.1,,35.3,,,,,,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Chad,N'Djaména,2010,"10,089",53.8,18.9,72.7,23.1,1.7,0.1,0.1,1.7,0.1,26.7,99.4,14.1,6.2,1.1,1.8,4.2,16.3,43,66.4,72.6,42.7,78.4,40.1,65.7,90.9,95.9,8,92.2,42.4,0.8,14.1,0.2,15.1,82.3,UN-Habitat_MICS
Middle Africa,Sub-Saharan Africa,Chad,N'Djaména,2014,"7,624",35,21.7,56.6,38.8,0.6,0.1,0,3.2,0.5,43.1,99.8,91.2,0,,2.7,9.3,1.9,55.9,69.8,69.8,32.2,28.7,37.8,73.4,98.8,58.5,3.8,94.9,54.8,0,33.3,1.7,35,63.8,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Comoros,Moroni,1996,867,26.5,55.2,81.8,,3.8,,11.6,0,0,15.5,97.2,95.1,14.3,,27.7,,,,27.7,42,,,72.9,,,82.9,15.5,,60,,,,,,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Comoros,Moroni,2012,"2,124",34.7,53.6,88.2,2,1.7,0.7,4.4,2.4,0.5,11.7,99.9,85.9,9,0.8,0.1,7.6,1.1,7.9,17.6,26.6,22.4,,74.8,86.1,98.3,82.7,15.2,93.7,85.1,0,5,1.1,6.1,91.6,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Congo,Brazaville,2014,"20,795",69.7,0.7,70.4,12.4,3.7,4.4,0,0,7.2,27.7,98.1,92.9,0,4.6,4.7,25.2,2.5,42.7,79.7,79.7,31,,93.9,89.9,98.5,66.4,3.5,97.2,85.7,1.5,37.6,0,39.1,59.3,UN-Habitat_MICS
Middle Africa,Sub-Saharan Africa,Congo,Brazzaville,2009,"10,955",36.5,48.6,85.1,10.1,0.4,2.2,0,0,1.1,13.8,98.9,,6.6,,21.8,,,,21.8,74.3,14.5,,92.8,86,98.9,75.4,1.5,90.4,62.4,1.8,15.7,0,17.5,82.3,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Congo,Brazzaville,2011,"18,397",40.4,36.3,76.6,11.1,2.9,2.7,0,0,2.9,19.6,96.2,78.5,2.2,0,2.2,10.5,2.6,44.3,59.6,61.8,17.4,,89.6,88,99.1,69.1,2.4,94.1,63.7,0.9,22.7,0,23.6,75.5,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Congo,Brazzaville,2014,"20,795",69.7,0.7,70.4,12.4,3.7,4.4,0,0,7.2,27.7,98.1,92.9,25.2,4.6,4.7,,2.5,42.7,54.5,79.6,31,61,93.9,91,99.4,100,3.5,97.2,85.7,1.5,37.6,0,39.1,59.7,UN-Habitat_MICS
Middle Africa,Sub-Saharan Africa,Congo DRC,Kinshasa,2000,"5,669",68.1,0,68.1,0.3,0.4,1.5,,0,0,2.1,70.3,69.9,7.4,,1.4,,50.5,,51.9,73.8,,,99.8,86.5,97,32.2,,,,,,,,,UN-Habitat_MICS
Middle Africa,Sub-Saharan Africa,Congo DRC,Kinshasa,2007,"6,420",46.4,43.4,89.8,0.9,0.6,2.6,0,0,0.1,4.3,94.1,73.4,30.9,,12.3,,,19.9,32.2,63,16,,91.7,,98,,0.9,78.9,84.1,27.5,0,0,27.5,72.5,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Congo DRC,Kinshasa,2010,"7,008",76.9,1.7,78.6,5.2,0.9,3.1,0,0,1.1,10.3,88.8,5.6,0.6,0.1,0.6,21.1,0.1,34.8,56.7,57.3,18.5,36.1,90.1,94.1,99.5,55.3,3.8,86.6,76.3,15.2,0.1,0,15.3,84.2,UN-Habitat_MICS
Middle Africa,Sub-Saharan Africa,Congo DRC,Kinshasa,2014,"9,020",89.9,2.6,51.8,3.8,0.5,0.2,0,0,2.3,6.8,99.2,84.3,0.8,0,1.3,35,2.3,24.8,63.3,64.1,20.7,18,93.2,92.6,99.7,51,2.7,95.9,90.4,15.3,0,0.1,15.4,82.5,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Cote d'Ivoire,Abidjan,1994,"7,359",70.8,27.9,98.7,,0.8,,0,0.3,0,1.1,99.9,94.9,48.6,,30.6,,4.8,,35.4,84,,,99.2,,,49.6,,,79.3,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Cote d'Ivoire,Abidjan,1998,"2,294",49.2,8.5,57.7,,32.3,,0.2,0,,32.5,90.2,48,16.5,,22.2,,,,22.2,38.8,,,98.9,,,63.5,10.2,,84.2,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Cote d'Ivoire,Abidjan,2000,"11,903",86.3,0,86.3,0.1,0.2,0,0,12,0,12.3,98.6,78.6,39.2,,0,0,,,0,86.9,,,68.3,,,49.1,,,,,,,,,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Cote d'Ivoire,Abidjan,2005,"5,063",88.9,10.4,99.3,,0.1,0,0,0,0,0.1,99.5,,49.9,,11.8,,,,11.8,61.7,,,98.4,,,,57.6,,96.8,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Cote d'Ivoire,Abidjan,2006,"1,100",74.7,14.6,89.4,0,2.1,0,0,14.5,0,16.6,92.7,18.9,16.6,0,1.6,18.5,12.7,36.7,69.6,89.8,39.3,,98.7,95.2,98.7,99.4,9.8,75.5,92.5,0.1,1.5,0,1.6,97.3,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Cote d'Ivoire,Abidjan,2012,"9,362",88.1,10.3,98.5,,0.2,0,0,0.1,0.2,0.5,98.9,95.7,27.2,,19.6,,,,19.6,46.8,,,99.1,,,,9.1,96.6,96.6,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Cote d'Ivoire,Abidjan,2016,"12,465",90.8,3.4,94.2,2.6,0.8,0,0,0.3,1.8,5.5,99.7,1.9,20,0.1,0.2,34.6,6.9,28,69.8,90,60.4,68.8,99.2,95.2,95.3,100,5.8,97.4,97.3,2.7,81.9,0,84.6,12.9,UN-Habitat_MICS
Eastern Africa,Sub-Saharan Africa,Ethiopia,Addis Ababa,2000,"2,203",63.4,35.1,98.4,,0,0,0,,,0,98.4,79.4,5.3,,5.8,,,,5.8,11.1,6.3,,69,,99.7,,26.9,,97.5,0.6,1.2,0.2,2,97.2,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Ethiopia,Addis Ababa,2005,"2,337",70.4,29.6,99.9,0,0,0,0,0,0,0,99.9,90.3,2.2,1.2,7.3,3.6,4.6,54,71.1,73.3,26.8,,86.4,21.6,99.8,50.7,57.5,37,97.2,1.8,2.7,0.5,5,93.8,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Ethiopia,Addis Ababa,2011,"5,710",70.3,29.3,99.6,0,0,0.1,0,0,0.3,0.4,,81.1,5.8,2.7,3.8,3.6,2.4,55,67.5,73.2,24.5,9.1,86.3,25.2,98.8,64.1,48.1,89.5,98.6,7.8,1.8,0.6,10.3,87,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Ethiopia,Addis Ababa,2016,"5,443",90.4,6.7,97.1,0.1,0,0.3,0,0.2,2.1,2.6,99.7,75.8,10,0.2,3.5,12.5,6.9,48.1,71.6,81.6,29,38.8,94,35.4,97.7,66.9,30.5,97.5,99.8,57.1,2.1,0.5,59.6,39.3,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Ethiopia,Awasa,2005,283,53,47,100,0,0,0,0,0,0,0,100,91.7,0,4.4,0,0,5.3,34,43.7,43.7,22,,52.5,16.3,93.5,55.1,32,2.8,92.5,0,0,1.1,1.1,98.9,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Ethiopia,Gonder,2005,622,68,31.1,99.1,0,0,0.2,0,0,0,0.2,99.3,87.8,1.8,4.4,2.7,1.9,4,51.6,64.7,66.5,28.3,,43,14.3,98,55.9,44.7,11.5,99.1,1.3,1.6,0.2,3.1,94.7,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Ethiopia,Mekele,2000,407,57.7,42.3,100,,0,0,0,,,0,100,65.3,12,,0,,,,0,12,1.5,,39,,94.6,,18.9,,99.3,7.9,0,4.3,12.2,86.6,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Ethiopia,Mekele,2005,361,65.3,27.6,92.9,1,4.2,0,0,0,0,5.2,98.1,81.4,0,5.8,7.4,1.5,5.8,24.6,45.1,45.1,6.6,,36.5,48.4,98.8,41.2,19.8,2,94.1,3.6,0,0,3.6,94.6,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Ethiopia,Nazret,2000,668,28.7,49.5,78.3,,0,0,0,,,0,78.3,32.6,0,,4.8,,,,4.8,4.8,4.2,,27.3,,95.6,,13.4,,91.5,0,0,2.4,2.4,97,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Ethiopia,Nazret,2005,"1,260",47.8,49.8,97.6,0,1.6,0,0,0,0,1.6,99.2,96.4,3.6,0,0.9,3.2,3.3,42.5,49.9,53.6,28.6,,57.7,25,97.9,57.1,42.5,13.6,94.6,2.8,0,0,2.8,96.4,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Gabon,Libreville,2000,"14,053",62.7,36.8,99.5,,0.1,,0,0,0,0.1,99.7,92.3,37.6,,31.7,,,,31.7,69.2,44.7,,96.7,97.9,99.1,75.2,24.7,,95.7,0.4,92.1,,92.5,5.9,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Gabon,Libreville/Port-Gentil,2012,"22,027",80.7,16.4,97.1,0,0,0,0.6,0,0.7,1.3,98.4,69.5,45.6,0,7.8,,,31.5,39.3,77.1,47,,96.8,100,99.7,75.6,3.1,98.3,99.5,0.6,95.4,0,96,1.6,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Gambia,Banjul,2000,"5,269",45.4,54.6,,0,0,0,0,0,0,0,,44.5,61.1,0,4.9,0,28.7,0,33.5,94.6,,,93.7,94.1,92.8,66.1,,,78,,,,,,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Gambia,Banjul,2006,"1,300",77.5,2.9,80.3,0,0,0,0,0,0.5,0.5,80.8,8.4,45.5,0,0,27.4,1.9,21.9,51.1,96.6,39.8,,98.9,76.5,,63,45.7,81.7,83,0,4.7,0,4.7,95.3,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Ghana,Accra,1993,"2,088",59.7,40.1,99.9,0,0,,0,0,0,0,99.9,97.2,30.6,,22.9,,,,22.9,47.1,,,99.2,,,63.4,,,90,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Ghana,Accra,1998,"2,653",64.7,32.4,97.1,0.4,0,,0,2.4,0,2.8,99.9,98.1,35.4,,18.1,,,,18.1,43.7,,,99.1,,,66.8,14.4,,93.4,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Ghana,Accra,2003,"2,931",55.1,34.5,89.6,,0.2,,0.2,4.8,4.4,9.6,99.2,93.1,45.3,,30.9,,,,30.9,76.2,26.3,,99.2,,,,38.1,,85.5,2.5,31.5,0.8,34.9,64.1,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Ghana,Accra,2006,"3,414",33,29.5,62.6,0.2,0.3,0,5.1,0.2,0.7,6.3,68.8,67.7,4.8,,37.6,20.3,13.6,11.4,83,87.8,23.2,,99,97.9,100,61.4,13.3,77.1,89.3,0.1,36.5,0.4,37.1,61,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Ghana,Accra,2008,"5,638",39.5,19.9,59.4,0.2,1.5,,0.1,3,34.8,39.7,99,91.7,10.2,0.2,40.2,28,8.5,6.9,83.7,93.9,28.6,,96,96.8,99.4,71.8,12.4,91.2,90.5,3.1,41.1,0,44.2,54.5,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Ghana,Accra,2014,"6,705",13.8,15.5,29.3,0,0,0,0,0.8,69.7,70.5,99.8,97.4,22.7,0,21.9,29.7,9.4,8.5,69.5,92.2,26.7,36.6,98.8,90.4,99.6,70.9,5.7,96.9,95.2,2.7,49.6,0,52.3,45.8,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Ghana,Accra,2016,"3,486",26.2,5.6,31.8,0.1,0.1,0,0,0,67.8,68.1,99.9,98.8,1.5,0,38.9,47.9,4.7,2.8,94.2,95.7,30.5,,89,88.5,99.9,68.8,1.2,96.7,93.8,0.8,45.3,0,46.1,51.1,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Ghana,Accra,2019,"1,417",10.2,1.6,11.8,0.1,0,,0,0,88.1,88.2,100,99.5,2.2,0,25.2,58.2,6.6,3,94.9,97.1,23.5,,99.1,95.7,100,74.1,2.8,97.8,97.6,0.4,54.7,,55.1,40.7,UN-Habitat_DHS
