Indicator_series,Indicator_Description,City,Country,Region,Estimate_Year,Urban_Share_in_OPS,Urban_Share_in_Streets,Urban_Share_in_OPS_and_Streets,Population_with_OPS_access,Estimate_Source,ObjectId
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Paraná,Argentina,Latin America and the Caribbean,2020,3.41,12.47,15.88,48.7,UN-Habitat Urban Indicators Database,29
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Río Cuarto,Argentina,Latin America and the Caribbean,2020,2.94,14.41,17.34,52.08,UN-Habitat Urban Indicators Database,30
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Río Gallegos,Argentina,Latin America and the Caribbean,2020,1.43,16.2,17.63,58.7,UN-Habitat Urban Indicators Database,31
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Rosario,Argentina,Latin America and the Caribbean,2020,4.96,15.39,20.35,52.84,UN-Habitat Urban Indicators Database,32
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",San Juan,Argentina,Latin America and the Caribbean,2020,2.86,14.59,17.45,59.15,UN-Habitat Urban Indicators Database,33
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",San Martín,Argentina,Latin America and the Caribbean,2020,2.84,13.25,16.09,64.06,UN-Habitat Urban Indicators Database,34
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",San Miguel de Tucumán,Argentina,Latin America and the Caribbean,2020,3.71,11.94,15.65,43.59,UN-Habitat Urban Indicators Database,35
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",San Pedro de Jujuy,Argentina,Latin America and the Caribbean,2020,4.72,18.42,23.14,92.53,UN-Habitat Urban Indicators Database,36
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",San Salvador de Jujuy,Argentina,Latin America and the Caribbean,2020,4.32,15.97,20.28,80.73,UN-Habitat Urban Indicators Database,37
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Santiago del Estero,Argentina,Latin America and the Caribbean,2020,1.79,13.33,15.12,35.65,UN-Habitat Urban Indicators Database,38
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Zárate,Argentina,Latin America and the Caribbean,2020,2.65,14.01,16.66,53.96,UN-Habitat Urban Indicators Database,39
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Adeliade,Australia,Australia and New Zealand,2020,6.25,12.56,18.8,72.15,UN-Habitat Urban Indicators Database,40
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Brisbane,Australia,Australia and New Zealand,2020,8.02,12.04,20.06,80.55,UN-Habitat Urban Indicators Database,41
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Canberra,Australia,Australia and New Zealand,2020,14.48,15.19,29.67,97.52,UN-Habitat Urban Indicators Database,42
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Darwin,Australia,Australia and New Zealand,2020,7.06,10.12,17.18,86.74,UN-Habitat Urban Indicators Database,43
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Geelong,Australia,Australia and New Zealand,2020,8.86,11.15,20.01,88.86,UN-Habitat Urban Indicators Database,44
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Melbourne,Australia,Australia and New Zealand,2020,8.5,11.87,20.36,84.43,UN-Habitat Urban Indicators Database,45
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Perth,Australia,Australia and New Zealand,2020,7.6,13.56,21.16,85.62,UN-Habitat Urban Indicators Database,46
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Sydney,Australia,Australia and New Zealand,2020,2.28,11.22,13.5,33.38,UN-Habitat Urban Indicators Database,47
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Vienna,Austria,Northern America and Europe,2020,3.19,11.66,14.85,72.42,UN-Habitat Urban Indicators Database,48
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Baku,Azerbaijan,Western Asia  and Northern Africa ,2020,4.02,19.3,23.32,57.02,UN-Habitat Urban Indicators Database,49
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Bahrain,Bahrain_AlManamah,Western Asia  and Northern Africa ,2020,1.45,22.08,23.53,45.19,UN-Habitat Urban Indicators Database,50
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Umuarama,Brazil,Latin America and the Caribbean,2020,5.84,20.52,26.36,81.86,UN-Habitat Urban Indicators Database,51
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Vitória da Conquista,Brazil,Latin America and the Caribbean,2020,2.24,16.47,18.71,60.49,UN-Habitat Urban Indicators Database,52
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Burgas,Bulgaria,Northern America and Europe,2020,6.07,10.81,16.88,72.64,UN-Habitat Urban Indicators Database,53
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Dobric,Bulgaria,Northern America and Europe,2020,6.42,13.37,19.8,84.1,UN-Habitat Urban Indicators Database,54
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Montana,Bulgaria,Northern America and Europe,2020,8.17,10.28,18.45,89.75,UN-Habitat Urban Indicators Database,55
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Pleven,Bulgaria,Northern America and Europe,2020,4.42,10.3,14.72,47.2,UN-Habitat Urban Indicators Database,56
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Plovdiv,Bulgaria,Northern America and Europe,2020,6.18,11.77,17.95,66.91,UN-Habitat Urban Indicators Database,57
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Sofia,Bulgaria,Northern America and Europe,2020,8.35,13.75,22.1,63.8,UN-Habitat Urban Indicators Database,58
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Varna,Bulgaria,Northern America and Europe,2020,10.87,11.16,22.03,73.6,UN-Habitat Urban Indicators Database,59
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Barrie,Canada,Northern America and Europe,2020,9.7,10.81,20.51,88.99,UN-Habitat Urban Indicators Database,60
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Calgari,Canada,Northern America and Europe,2020,10.59,18.53,29.11,92.52,UN-Habitat Urban Indicators Database,61
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Osh,Kyrgyzstan,Central and Southern Asia ,2020,1.94,11.36,13.29,46.28,UN-Habitat Urban Indicators Database,62
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Edmont,Canada,Northern America and Europe,2020,8.27,14.56,22.83,82.46,UN-Habitat Urban Indicators Database,63
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Kelonwa,Canada,Northern America and Europe,2020,9.83,11.45,21.28,79.37,UN-Habitat Urban Indicators Database,64
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Montreal,Canada,Northern America and Europe,2020,8.64,13.84,22.49,89.17,UN-Habitat Urban Indicators Database,65
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Regina,Canada,Northern America and Europe,2020,11.27,17.63,28.9,95.49,UN-Habitat Urban Indicators Database,66
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Saint-Jean-sur-Richelieu,Canada,Northern America and Europe,2020,10.05,12.51,22.56,89.49,UN-Habitat Urban Indicators Database,67
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Victoria,Canada,Northern America and Europe,2020,3.51,10.68,14.19,72.65,UN-Habitat Urban Indicators Database,68
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Winnipeg,Canada,Northern America and Europe,2020,6.85,14.81,21.67,76.29,UN-Habitat Urban Indicators Database,69
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Antofagasta,Chile,Latin America and the Caribbean,2020,2.64,16.59,19.23,67.15,UN-Habitat Urban Indicators Database,70
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Arica,Chile,Latin America and the Caribbean,2020,3.88,17.69,21.57,84.3,UN-Habitat Urban Indicators Database,71
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Concepción,Chile,Latin America and the Caribbean,2020,4.5,13.67,18.17,67.2,UN-Habitat Urban Indicators Database,72
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Copiapó,Chile,Latin America and the Caribbean,2020,2.09,13.38,15.46,69.09,UN-Habitat Urban Indicators Database,73
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Iquique,Chile,Latin America and the Caribbean,2020,1.98,17.24,19.22,71.84,UN-Habitat Urban Indicators Database,74
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",La Serena,Chile,Latin America and the Caribbean,2020,3.49,15.35,18.84,72.81,UN-Habitat Urban Indicators Database,75
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Los Ángeles,Chile,Latin America and the Caribbean,2020,3.17,14.76,17.93,70.14,UN-Habitat Urban Indicators Database,76
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Osorno,Chile,Latin America and the Caribbean,2020,4.19,14.35,18.55,76.73,UN-Habitat Urban Indicators Database,77
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Ovalle,Chile,Latin America and the Caribbean,2020,2.39,15.7,18.1,78.59,UN-Habitat Urban Indicators Database,78
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Penaflor,Chile,Latin America and the Caribbean,2020,2.54,12.73,15.27,57.6,UN-Habitat Urban Indicators Database,79
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Punta Arenas,Chile,Latin America and the Caribbean,2020,3.63,13.98,17.61,64.56,UN-Habitat Urban Indicators Database,80
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Rancagua,Chile,Latin America and the Caribbean,2020,3.4,15.95,19.35,70.54,UN-Habitat Urban Indicators Database,81
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Santiago,Chile,Latin America and the Caribbean,2020,2.22,15.1,17.32,43.47,UN-Habitat Urban Indicators Database,82
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Talca,Chile,Latin America and the Caribbean,2020,3.96,15.01,18.97,87.85,UN-Habitat Urban Indicators Database,83
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Temuco,Chile,Latin America and the Caribbean,2020,4.69,15.33,20.02,77.21,UN-Habitat Urban Indicators Database,84
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Valparaíso,Chile,Latin America and the Caribbean,2020,2.47,13.89,16.37,49.37,UN-Habitat Urban Indicators Database,85
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities","Hong Kong, Hong Kong",China,Eastern Asia and South-eastern Asia,2020,6.51,24.98,31.49,89.11,UN-Habitat Urban Indicators Database,86
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities","Shenzhen, Guangdong",China,Eastern Asia and South-eastern Asia,2020,4.74,13.08,17.83,21.94,UN-Habitat Urban Indicators Database,87
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities","Taipei, Taiwan",China,Eastern Asia and South-eastern Asia,2020,1.63,16.7,18.32,35.07,UN-Habitat Urban Indicators Database,88
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Arauca,Colombia,Latin America and the Caribbean,2020,1.49,20.47,21.95,64.1,UN-Habitat Urban Indicators Database,89
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Barranquilla,Colombia,Latin America and the Caribbean,2020,1.52,25.12,26.64,43.09,UN-Habitat Urban Indicators Database,90
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Bogota,Colombia,Latin America and the Caribbean,2020,6.31,23.01,29.32,87.5,UN-Habitat Urban Indicators Database,91
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Bucaramanga,Colombia,Latin America and the Caribbean,2020,4.32,25.16,29.48,78.72,UN-Habitat Urban Indicators Database,92
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Bucaramanga,Colombia,Latin America and the Caribbean,2020,4.32,24.65,28.97,86.61,UN-Habitat Urban Indicators Database,93
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Buga (Guadalajara de Buga),Colombia,Latin America and the Caribbean,2020,2.56,24.48,27.05,71.14,UN-Habitat Urban Indicators Database,94
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Cali,Colombia,Latin America and the Caribbean,2020,4.41,26.2,30.61,67.81,UN-Habitat Urban Indicators Database,95
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Cali (Santiago de Cali),Colombia,Latin America and the Caribbean,2020,4.41,26.92,31.34,70.26,UN-Habitat Urban Indicators Database,96
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Cartagena,Colombia,Latin America and the Caribbean,2020,1.17,27.16,28.33,55.85,UN-Habitat Urban Indicators Database,97
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Cartago,Colombia,Latin America and the Caribbean,2020,1.14,23.4,24.54,50.05,UN-Habitat Urban Indicators Database,98
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Cúcuta (San José de Cúcuta),Colombia,Latin America and the Caribbean,2020,1.41,23.55,24.96,51.7,UN-Habitat Urban Indicators Database,99
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Florencia,Colombia,Latin America and the Caribbean,2020,1.1,26.62,27.72,49.91,UN-Habitat Urban Indicators Database,100
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Florencia,Colombia,Latin America and the Caribbean,2020,1.1,26.3,27.4,60.94,UN-Habitat Urban Indicators Database,101
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Ôzgôn,Kyrgyzstan,Central and Southern Asia ,2020,2.67,11.4,14.07,96.11,UN-Habitat Urban Indicators Database,102
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Talas,Kyrgyzstan,Central and Southern Asia ,2020,2.94,10.38,13.31,71.15,UN-Habitat Urban Indicators Database,103
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tokmok,Kyrgyzstan,Central and Southern Asia ,2020,6.35,11.8,18.15,66.67,UN-Habitat Urban Indicators Database,104
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Baalbek,Lebanon,Western Asia  and Northern Africa ,2020,1.02,12.79,13.81,45.14,UN-Habitat Urban Indicators Database,105
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tripoli,Lebanon,Western Asia  and Northern Africa ,2020,1.36,11.54,12.9,72.81,UN-Habitat Urban Indicators Database,106
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Kaunas,Lithuania,Northern America and Europe,2020,6.37,15.41,21.78,61.43,UN-Habitat Urban Indicators Database,107
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Antsiranana,Madagascar,Sub-Saharan Africa,2020,1.12,14.93,16.05,30.21,UN-Habitat Urban Indicators Database,108
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Rawang,Malaysia,Eastern Asia and South-eastern Asia,2020,1.71,10.64,12.35,22.36,UN-Habitat Urban Indicators Database,109
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Male,Maldives,Central and Southern Asia ,2020,6.44,13.15,19.59,97.73,UN-Habitat Urban Indicators Database,110
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Bamako,Mali,Sub-Saharan Africa,2020,1.36,19.59,20.95,29.94,UN-Habitat Urban Indicators Database,111
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Apatzingan (Apatzingan de la Constitucion),Mexico,Latin America and the Caribbean,2020,1.97,13.61,15.58,53.82,UN-Habitat Urban Indicators Database,112
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Campeche (San Francisco de Campeche),Mexico,Latin America and the Caribbean,2020,2.32,13.32,15.65,81.24,UN-Habitat Urban Indicators Database,113
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Ciudad Juarez (Juarez),Mexico,Latin America and the Caribbean,2020,2.22,12.67,14.89,54.84,UN-Habitat Urban Indicators Database,114
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Culiacan,Mexico,Latin America and the Caribbean,2020,3.56,13.83,17.38,72.51,UN-Habitat Urban Indicators Database,115
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Ensenada,Mexico,Latin America and the Caribbean,2020,1.07,12.32,13.39,42.88,UN-Habitat Urban Indicators Database,116
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Guadalajara,Mexico,Latin America and the Caribbean,2020,2.32,13.28,15.6,50.5,UN-Habitat Urban Indicators Database,117
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Guanajuato,Mexico,Latin America and the Caribbean,2020,1.25,12.31,13.56,45.75,UN-Habitat Urban Indicators Database,118
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Irapuato,Mexico,Latin America and the Caribbean,2020,1.98,13.56,15.54,47.88,UN-Habitat Urban Indicators Database,119
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Leon (Leon de los Aldama),Mexico,Latin America and the Caribbean,2020,1.97,14.43,16.39,56.18,UN-Habitat Urban Indicators Database,120
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Mexico City,Mexico,Latin America and the Caribbean,2020,3.71,12.7,16.4,46.26,UN-Habitat Urban Indicators Database,121
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Monterrey,Mexico,Latin America and the Caribbean,2020,4.37,15.69,20.06,72.59,UN-Habitat Urban Indicators Database,122
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Puebla (Heróica Puebla de Zaragoza),Mexico,Latin America and the Caribbean,2020,1.8,12.01,13.81,33.24,UN-Habitat Urban Indicators Database,123
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Puerto Vallarta,Mexico,Latin America and the Caribbean,2020,1.64,11.35,13,46.53,UN-Habitat Urban Indicators Database,124
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Reynosa,Mexico,Latin America and the Caribbean,2020,1.28,10.44,11.71,27.84,UN-Habitat Urban Indicators Database,125
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Río Bravo,Mexico,Latin America and the Caribbean,2020,3.95,13.19,17.14,81.91,UN-Habitat Urban Indicators Database,126
