Country;Total Ranking;Total Score;Helping a stranger Ranking;Helping a stranger Score;Donating money Ranking;Donating money Score;Volunteering time Ranking;Volunteering time Score
South Korea;88;35%;96;53%;45;36%;89;16%
Namibia;89;35%;41;68%;112;13%;62;23%
Moldova;90;34%;38;68%;92;22%;100;13%
Taiwan;91;34%;99;51%;41;39%;102;12%
Togo;92;34%;80;57%;89;22%;58;23%
Kazakhstan;93;34%;111;47%;40;39%;87;16%
Mozambique;94;34%;92;53%;101;18%;25;30%
Gabon;95;34%;23;73%;113;11%;83;17%
Albania;96;34%;78;57%;48;36%;118;8%
Tanzania;97;33%;92;53%;64;30%;94;14%
Benin;98;32%;89;54%;97;19%;56;24%
Spain;99;32%;104;50%;62;31%;88;16%
France;100;32%;116;38%;70;30%;32;29%
Jordan;101;32%;21;73%;111;14%;115;9%
Greece;102;32%;79;57%;94;21%;82;17%
Morocco;103;31%;24;73%;118;7%;95;14%
Georgia;104;31%;40;68%;119;3%;67;22%
Zimbabwe;105;31%;63;63%;114;10%;79;19%
Romania;106;30%;68;61%;100;18%;105;11%
Algeria;107;30%;77;58%;102;18%;97;14%
Pakistan;108;29%;94;53%;81;25%;111;10%
Italy;109;29%;113;44%;67;30%;93;14%
Armenia;110;29%;70;61%;107;16%;107;11%
Latvia;111;29%;103;50%;74;27%;112;10%
Tunisia;112;28%;61;63%;115;9%;98;13%
Laos;113;27%;117;36%;65;30%;92;15%
Portugal;114;26%;98;52%;105;17%;113;10%
Lebanon;115;24%;105;50%;109;14%;117;9%
Egypt;116;23%;81;57%;116;7%;119;4%
Afghanistan;117;21%;112;44%;117;7%;99;13%
Japan;118;20%;118;24%;103;18%;83;17%
Cambodia;119;19%;119;23%;84;24%;114;10%
