Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Alphen aan den Rijn,Netherlands,Northern America and Europe,77.99,European Commission DG REGIO,12
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cartago,Colombia,Latin America and the Caribbean ,21.12,UN-Habitat Urban Indicators Database,13
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Auckland,New Zealand,Australia and New Zealand ,94.39,UN-Habitat Urban Indicators Database,14
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bolzano,Italy,Northern America and Europe,98.88,European Commission DG REGIO,15
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bonn,Germany,Northern America and Europe,93.02,European Commission DG REGIO,16
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Augsburg,Germany,Northern America and Europe,92.91,European Commission DG REGIO,17
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Avignon,France,Northern America and Europe,92.09,European Commission DG REGIO,18
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Borås,Sweden,Northern America and Europe,90.12,European Commission DG REGIO,19
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Borca,Serbia,Northern America and Europe,68.04,European Commission DG REGIO,20
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bordeaux,France,Northern America and Europe,96.28,European Commission DG REGIO,21
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Boulogne-sur-mer,France,Northern America and Europe,98.79,European Commission DG REGIO,22
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bourges,France,Northern America and Europe,95.87,European Commission DG REGIO,23
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bournemouth,United Kingdom,Northern America and Europe,96,European Commission DG REGIO,24
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bra?ov,Romania,Northern America and Europe,90.57,European Commission DG REGIO,25
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bracknell,United Kingdom,Northern America and Europe,91.21,European Commission DG REGIO,26
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Braga,Portugal,Northern America and Europe,98.71,European Commission DG REGIO,27
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Brasilia,Brazil,Latin America and the Caribbean ,76.3,UN-Habitat Urban Indicators Database,28
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bratislava,Slovakia,Northern America and Europe,94.1,European Commission DG REGIO,29
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Braunschweig,Germany,Northern America and Europe,91.8,European Commission DG REGIO,30
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Breda,Netherlands,Northern America and Europe,92.93,European Commission DG REGIO,31
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bregenz,Austria,Northern America and Europe,94.98,European Commission DG REGIO,32
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bremen,Germany,Northern America and Europe,89.83,European Commission DG REGIO,33
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bremerhaven,Germany,Northern America and Europe,90.47,European Commission DG REGIO,34
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Brescia,Italy,Northern America and Europe,90.31,European Commission DG REGIO,35
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Brest,France,Northern America and Europe,97.14,European Commission DG REGIO,36
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Brest ,Belarus ,Northern America and Europe,78.28,UN-Habitat Urban Indicators Database,37
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Brighton,United Kingdom,Northern America and Europe,99.31,European Commission DG REGIO,38
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Avilés,Spain,Northern America and Europe,93.21,European Commission DG REGIO,39
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Brindisi,Italy,Northern America and Europe,98.1,European Commission DG REGIO,40
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Brisbane,Australia,Australia and New Zealand ,89.05,UN-Habitat Urban Indicators Database,41
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bristol,United Kingdom,Northern America and Europe,96.57,European Commission DG REGIO,42
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Brno,Czech Republic,Northern America and Europe,92.35,European Commission DG REGIO,43
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Brugge,Belgium,Northern America and Europe,95.97,European Commission DG REGIO,44
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bruxelles / Brussel,Belgium,Northern America and Europe,94.57,Statistics Belgium,45
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Butwal,Nepal,Central and Southern Asia ,16.11,UN-Habitat Urban Indicators Database,46
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bucaramanga,Colombia,Latin America and the Caribbean ,17.15,UN-Habitat Urban Indicators Database,47
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bucharest,Romania,Northern America and Europe,85.57,European Commission DG REGIO,48
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Budapest,Hungary,Northern America and Europe,96.47,European Commission DG REGIO,49
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Buenos Aires,Argentina,Latin America and the Caribbean ,87.29,UN-Habitat Urban Indicators Database,50
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Buga (Guadalajara de Buga),Colombia,Latin America and the Caribbean ,19.08,UN-Habitat Urban Indicators Database,51
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Como,Italy,Northern America and Europe,90.35,European Commission DG REGIO,52
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bukhara,Uzbekistan,Central and Southern Asia ,8.17,UN-Habitat Urban Indicators Database,53
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bunbury,Australia,Australia and New Zealand ,81.79,UN-Habitat Urban Indicators Database,54
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bur Sudan,Sudan,Western Asia  and Northern Africa ,4.49,UN-Habitat Urban Indicators Database,55
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Burgas,Bulgaria,Northern America and Europe,67.68,UN-Habitat Urban Indicators Database,56
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Concepción,Chile,Latin America and the Caribbean ,84,UN-Habitat Urban Indicators Database,57
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Amman (Includes Az-zarqa, Ar-Rusayfah, Al-Quwaysimah,Tila al-Ali, Wadi as-sir, Al-Jubayhah, Khraibat as-suq and Sahab)",Jordan,Western Asia  and Northern Africa ,10.05,UN-Habitat Urban Indicators Database,58
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Badulla,Sri-Lanka,Central and Southern Asia ,41.37,UN-Habitat Urban Indicators Database,59
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Amora,Portugal,Northern America and Europe,98.22,European Commission DG REGIO,60
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Awassa,Ethiopia,Sub-Saharan Africa,38.54,UN-Habitat Urban Indicators Database,61
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ayacucho,Peru,Latin America and the Caribbean ,26.31,UN-Habitat Urban Indicators Database,62
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Aylesbury,United Kingdom,Northern America and Europe,96.28,European Commission DG REGIO,63
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ayr / Prestwick,United Kingdom,Northern America and Europe,94.69,European Commission DG REGIO,64
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Chania,Greece,Northern America and Europe,78.17,European Commission DG REGIO,65
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Azrou,Morocco,Western Asia  and Northern Africa ,32.3,UN-Habitat Urban Indicators Database,66
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Buston (?kalovsk) [Chkalovsk],Tajikistan,Central and Southern Asia ,45.97,UN-Habitat Urban Indicators Database,67
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Charikar,Afghanistan,Central and Southern Asia ,65.86,UN-Habitat Urban Indicators Database,68
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",A Coruna,Spain,Northern America and Europe,97.19,European Commission DG REGIO,69
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Blackburn with Darwen,United Kingdom,Northern America and Europe,96.67,European Commission DG REGIO,70
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Charleroi,Belgium,Northern America and Europe,93.93,European Commission DG REGIO,71
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Baalbek,Lebanon,Western Asia  and Northern Africa ,8.24,UN-Habitat Urban Indicators Database,72
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Al-Quds,Palestinian territories ,Western Asia  and Northern Africa ,52.79,UN-Habitat Urban Indicators Database,73
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Aachen,Germany,Northern America and Europe,95.86,European Commission DG REGIO,74
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Blackpool,United Kingdom,Northern America and Europe,98.65,European Commission DG REGIO,75
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Basildon,United Kingdom,Northern America and Europe,94.12,European Commission DG REGIO,76
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Chartres,France,Northern America and Europe,96.12,European Commission DG REGIO,77
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Babol,Iran,Central and Southern Asia ,42.44,UN-Habitat Urban Indicators Database,78
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Altagracia de Orituco,Venezuela,Latin America and the Caribbean ,26.27,UN-Habitat Urban Indicators Database,79
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Aalborg,Denmark,Northern America and Europe,94.13,European Commission DG REGIO,80
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Che?m,Poland,Northern America and Europe,94.97,European Commission DG REGIO,81
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Basingstoke and Deane,United Kingdom,Northern America and Europe,96.07,European Commission DG REGIO,82
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Blanchardstown,Ireland,Northern America and Europe,91.71,European Commission DG REGIO,83
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Babrujsk ,Belarus ,Northern America and Europe,83.57,UN-Habitat Urban Indicators Database,84
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Alto Molocue,Mozambique,Sub-Saharan Africa,53.74,UN-Habitat Urban Indicators Database,85
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Aberdeen,United Kingdom,Northern America and Europe,97.83,European Commission DG REGIO,86
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Chelmsford,United Kingdom,Northern America and Europe,98.03,European Commission DG REGIO,87
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bath,United Kingdom,Northern America and Europe,98.65,European Commission DG REGIO,88
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Blantyre,Malawi,Sub-Saharan Africa,15.38,UN-Habitat Urban Indicators Database,89
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bacolod,Philippines,Eastern and South-Eastern Asia,13.91,UN-Habitat Urban Indicators Database,90
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Abu Dhabi,UAE,Western Asia  and Northern Africa ,27.3,UN-Habitat Urban Indicators Database,91
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Amersfoort,Netherlands,Northern America and Europe,92.82,European Commission DG REGIO,92
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cheltenham,United Kingdom,Northern America and Europe,96.43,European Commission DG REGIO,93
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Blantyre / Hamilton,United Kingdom,Northern America and Europe,87.61,European Commission DG REGIO,94
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Batna,Algeria,Western Asia  and Northern Africa ,45.08,UN-Habitat Urban Indicators Database,95
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bad Soden am Taunus / Kelkheim,Germany,Northern America and Europe,84.59,European Commission DG REGIO,96
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Acapulco (Acapulco de Juárez),Mexico,Latin America and the Caribbean ,7.42,UN-Habitat Urban Indicators Database,97
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Amiens,France,Northern America and Europe,94.67,European Commission DG REGIO,98
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Blida,Algeria,Western Asia  and Northern Africa ,41.07,UN-Habitat Urban Indicators Database,99
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bocholt,Germany,Northern America and Europe,93.6,European Commission DG REGIO,100
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bochtar (Qurghonteppa or Kurganteppa),Tajikistan,Central and Southern Asia ,30.37,UN-Habitat Urban Indicators Database,101
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bogota,Colombia,Latin America and the Caribbean ,91.41,UN-Habitat Urban Indicators Database,102
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dhaka,Bangladesh,Central and Southern Asia ,44.77,UN-Habitat Urban Indicators Database,103
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Amran,Yemen,Western Asia  and Northern Africa ,22.68,UN-Habitat Urban Indicators Database,104
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dhamar,Yemen,Western Asia  and Northern Africa ,35.42,UN-Habitat Urban Indicators Database,105
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dharan,Nepal,Central and Southern Asia ,18.8,UN-Habitat Urban Indicators Database,106
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dijon,France,Northern America and Europe,96.24,European Commission DG REGIO,107
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dinajpur,Bangladesh,Central and Southern Asia ,36.72,UN-Habitat Urban Indicators Database,108
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ciudad Sandino,Nicaragua,Latin America and the Caribbean ,60.22,UN-Habitat Urban Indicators Database,109
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bhakkar,Pakistan,Central and Southern Asia ,11.8,UN-Habitat Urban Indicators Database,110
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bharatpur,Nepal,Central and Southern Asia ,45.76,UN-Habitat Urban Indicators Database,111
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bhiwandi,India,Central and Southern Asia ,16.65,UN-Habitat Urban Indicators Database,112
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bia?ystok,Poland,Northern America and Europe,93.57,European Commission DG REGIO,113
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Biel/Bienne,Switzerland,Northern America and Europe,94.85,European Commission DG REGIO,114
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bielefeld,Germany,Northern America and Europe,93.66,European Commission DG REGIO,115
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bielsko-Bia?a,Poland,Northern America and Europe,82.92,European Commission DG REGIO,116
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bilbao,Spain,Northern America and Europe,96.74,European Commission DG REGIO,117
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bira?nagar,Nepal,Central and Southern Asia ,9.93,UN-Habitat Urban Indicators Database,118
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Birendranagar,Nepal,Central and Southern Asia ,13.94,UN-Habitat Urban Indicators Database,119
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Birguñj,Nepal,Central and Southern Asia ,13.51,UN-Habitat Urban Indicators Database,120
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Birmingham,United Kingdom,Northern America and Europe,96.02,European Commission DG REGIO,121
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Biškek,Kyrgyzstan,Central and Southern Asia ,55.19,UN-Habitat Urban Indicators Database,122
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Burgas,Bulgaria,Northern America and Europe,89.18,European Commission DG REGIO,123
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Burgos,Spain,Northern America and Europe,98.17,European Commission DG REGIO,124
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Burnley,United Kingdom,Northern America and Europe,97.93,European Commission DG REGIO,125
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bursa,Turkey,Western Asia  and Northern Africa ,77.83,UN-Habitat Urban Indicators Database,126
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Burton-on-Trent,United Kingdom,Northern America and Europe,95.66,European Commission DG REGIO,127
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Busan,Republic of Korea (South Korea),Eastern and South-Eastern Asia,89.64,UN-Habitat Urban Indicators Database,128
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Butare,Rwanda,Sub-Saharan Africa,28.89,UN-Habitat Urban Indicators Database,129
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bydgoszcz,Poland,Northern America and Europe,90.45,European Commission DG REGIO,130
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cabudare,Venezuela,Latin America and the Caribbean ,54.72,UN-Habitat Urban Indicators Database,131
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cáceres,Spain,Northern America and Europe,98.95,European Commission DG REGIO,132
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cádiz,Spain,Northern America and Europe,90.86,European Commission DG REGIO,133
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Clermont-Ferrand,France,Northern America and Europe,94.04,European Commission DG REGIO,134
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Caen,France,Northern America and Europe,97.92,European Commission DG REGIO,135
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cagliari,Italy,Northern America and Europe,98.68,European Commission DG REGIO,136
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cairns,Australia,Australia and New Zealand ,75.28,UN-Habitat Urban Indicators Database,137
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cairo,Egypt,Western Asia  and Northern Africa ,21.24,UN-Habitat Urban Indicators Database,138
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cajamarca,Peru,Latin America and the Caribbean ,29.31,UN-Habitat Urban Indicators Database,139
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Calais,France,Northern America and Europe,96.93,European Commission DG REGIO,140
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Calgari,Canada,Northern America and Europe,67.88,UN-Habitat Urban Indicators Database,141
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cali (Santiago de Cali),Colombia,Latin America and the Caribbean ,76.49,UN-Habitat Urban Indicators Database,142
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Camaguey,Cuba,Latin America and the Caribbean ,48.05,UN-Habitat Urban Indicators Database,143
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cambridge,United Kingdom,Northern America and Europe,95.16,European Commission DG REGIO,144
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Campeche (San Francisco de Campeche),Mexico,Latin America and the Caribbean ,16.08,UN-Habitat Urban Indicators Database,145
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",CampiaTurzii,Romania,Northern America and Europe,83.76,UN-Habitat Urban Indicators Database,146
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Campinas_Paulinia,Brazil,Latin America and the Caribbean ,77.97,UN-Habitat Urban Indicators Database,147
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Canberra,Australia,Australia and New Zealand ,84.8,UN-Habitat Urban Indicators Database,148
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cannock / Hednesford,United Kingdom,Northern America and Europe,93.04,European Commission DG REGIO,149
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cap-Haitien,Haiti,Latin America and the Caribbean ,13.8,UN-Habitat Urban Indicators Database,150
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Caracas,Venezuela,Latin America and the Caribbean ,44.45,UN-Habitat Urban Indicators Database,151
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Carasamba,Turkey,Western Asia  and Northern Africa ,63.89,UN-Habitat Urban Indicators Database,152
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cardiff,United Kingdom,Northern America and Europe,97.27,European Commission DG REGIO,153
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Asti,Italy,Northern America and Europe,99,European Commission DG REGIO,154
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Comodoro Rivadavia,Argentina,Latin America and the Caribbean ,81.51,UN-Habitat Urban Indicators Database,155
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Chemnitz,Germany,Northern America and Europe,94.02,European Commission DG REGIO,156
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Astrakhan,Russia,Northern America and Europe,73.9,UN-Habitat Urban Indicators Database,157
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Acarigua - Araure,Venezuela,Latin America and the Caribbean ,39.68,UN-Habitat Urban Indicators Database,158
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Asuncion,Paraguay,Latin America and the Caribbean ,18.76,UN-Habitat Urban Indicators Database,159
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Batticaloa,Sri-Lanka,Central and Southern Asia ,26.61,UN-Habitat Urban Indicators Database,160
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cordoba,Argentina,Latin America and the Caribbean ,83.45,UN-Habitat Urban Indicators Database,161
